Deposit,Observation_ID,208Pb/204Pb,207Pb/204Pb,206Pb/204Pb
Deposit_2,2,37.12,15.17,18.73
Deposit_2,3,36.81,14.77,18.82
Deposit_2,4,36.92,14.63,18.27
Deposit_2,5,38.11,16.48,19.21
Deposit_2,6,37.22,15.14,19.8
Deposit_2,7,37.77,16.12,19.78
Deposit_2,8,38.26,15.01,18.35
Deposit_2,9,38.92,15.86,17.34
Deposit_2,10,36.64,16.02,19.95
Deposit_2,11,39.3,15.69,19.52
Deposit_2,12,38.7,15.44,17.37
Deposit_2,13,36.79,15.32,19.76
Deposit_2,14,39.56,15.2,19.61
Deposit_2,15,39.72,16.36,18.56
Deposit_2,16,36.71,16.16,18.77
Deposit_2,17,37.47,16.43,18.2
Deposit_2,18,39.32,14.75,17.16
Deposit_2,19,39.12,15.96,18.01
Deposit_2,20,37.15,16.38,19.41
Deposit_2,21,37.23,14.86,17.01
Deposit_2,22,37.8,14.63,18.0
Deposit_2,23,38.2,15.98,18.19
Deposit_2,24,38.66,15.65,18.61
Deposit_2,25,37.79,16.18,19.76
Deposit_2,26,38.12,14.78,18.04
Deposit_2,27,39.12,16.09,18.04
Deposit_2,28,36.63,14.9,19.21
Deposit_2,29,37.38,14.83,18.36
Deposit_2,30,39.0,14.83,17.67
Deposit_2,31,39.63,16.13,18.36
Deposit_2,32,38.29,15.83,17.42
Deposit_2,33,38.36,15.55,17.53
Deposit_2,34,36.88,15.22,18.5
Deposit_2,35,38.07,16.25,18.26
Deposit_2,36,38.36,15.28,19.74
Deposit_2,37,37.35,16.13,18.09
Deposit_2,38,37.44,15.38,18.74
Deposit_2,39,37.82,15.25,18.9
Deposit_2,40,36.57,15.43,17.04
Deposit_2,41,37.63,15.1,18.99
Deposit_2,42,37.24,16.0,17.53
Deposit_2,43,37.65,15.51,19.88
Deposit_2,44,36.92,14.96,17.45
Deposit_2,45,39.62,16.3,18.24
Deposit_2,46,38.58,15.27,17.26
Deposit_2,47,38.88,15.59,19.99
Deposit_2,48,39.26,16.31,18.51
Deposit_2,49,38.24,15.75,18.79
Deposit_2,50,36.8,14.73,17.2
Deposit_2,51,38.38,16.38,19.25
Deposit_2,52,38.55,15.76,17.63
Deposit_2,53,39.11,15.17,19.69
Deposit_2,54,38.01,14.78,17.62
Deposit_2,55,36.95,16.09,17.57
Deposit_2,56,37.49,15.74,17.11
Deposit_2,57,37.77,15.57,18.42
Deposit_2,58,38.76,16.29,18.69
Deposit_2,59,38.5,16.08,17.2
Deposit_2,60,37.75,14.8,19.33
Deposit_2,61,39.95,15.12,18.36
Deposit_2,62,38.62,15.0,18.57
Deposit_2,63,37.33,15.99,18.32
Deposit_2,64,36.86,14.57,18.2
Deposit_2,65,37.04,15.64,18.68
Deposit_2,66,37.36,16.02,17.47
Deposit_2,67,37.06,16.25,17.55
Deposit_2,68,37.15,15.18,19.59
Deposit_2,69,37.5,16.14,19.84
Deposit_2,70,37.11,14.72,18.12
Deposit_2,71,39.64,16.19,17.81
Deposit_2,72,36.78,14.75,18.93
Deposit_2,73,38.34,15.29,18.23
Deposit_2,74,37.94,16.09,17.08
Deposit_2,75,39.94,14.8,17.47
Deposit_2,76,36.89,14.96,19.15
Deposit_2,77,37.89,15.94,18.98
Deposit_2,78,39.89,15.94,17.08
Deposit_2,79,39.53,15.78,17.67
Deposit_2,80,39.36,15.89,17.69
Deposit_2,81,37.4,15.59,19.02
Deposit_2,82,37.1,15.0,17.06
Deposit_2,83,38.84,15.19,17.31
Deposit_2,84,39.75,14.86,19.4
Deposit_2,85,38.45,16.32,17.54
Deposit_2,86,38.5,15.67,18.96
Deposit_2,87,37.48,15.3,17.71
Deposit_2,88,39.19,15.42,17.3
Deposit_2,89,37.15,16.39,17.73
Deposit_2,90,37.63,14.81,19.17
Deposit_2,91,37.99,15.67,19.57
Deposit_2,92,38.28,15.51,19.49
Deposit_2,93,37.35,15.72,18.19
Deposit_2,94,36.9,14.54,19.0
Deposit_2,95,38.64,16.24,17.61
Deposit_2,96,37.51,16.36,17.88
Deposit_2,97,38.53,15.63,19.69
Deposit_2,98,37.04,15.89,17.04
Deposit_2,99,38.18,16.34,17.26
Deposit_3,0,37.23,14.87,17.17
Deposit_3,1,36.59,15.58,19.91
Deposit_3,2,37.14,16.25,19.65
Deposit_3,3,38.54,15.96,19.78
Deposit_3,4,37.97,16.11,19.98
Deposit_3,5,39.62,15.82,17.52
Deposit_3,6,39.36,15.88,18.19
Deposit_3,7,37.7,16.2,19.27
Deposit_3,8,37.41,15.0,19.09
Deposit_3,9,37.83,15.48,17.46
Deposit_3,10,38.57,14.94,19.45
Deposit_3,11,37.44,16.48,17.67
Deposit_3,12,38.68,16.39,17.67
Deposit_3,13,37.93,14.58,18.61
Deposit_3,14,38.43,15.91,18.78
Deposit_3,15,38.03,16.35,18.74
Deposit_3,16,37.53,14.86,17.27
Deposit_3,17,39.82,15.64,19.63
Deposit_3,18,39.17,16.33,17.8
Deposit_3,19,36.99,14.57,17.39
Deposit_3,20,39.54,15.89,19.67
Deposit_3,21,38.21,15.09,19.87
Deposit_3,22,39.63,16.35,19.59
Deposit_3,23,39.3,16.44,19.43
Deposit_3,24,37.99,16.39,18.97
Deposit_3,25,36.58,15.45,18.65
Deposit_3,26,37.44,16.22,17.26
Deposit_3,27,38.4,16.19,18.23
Deposit_3,28,38.72,15.14,18.12
Deposit_3,29,37.4,16.16,17.78
Deposit_3,30,36.99,14.57,19.17
Deposit_3,31,39.42,15.69,18.49
Deposit_3,32,39.95,14.96,17.24
Deposit_3,33,38.34,14.74,17.66
Deposit_3,34,37.1,14.65,19.05
Deposit_3,35,37.45,15.89,17.23
Deposit_3,36,36.56,15.18,19.55
Deposit_3,37,39.7,15.95,18.49
Deposit_3,38,36.91,14.63,18.44
Deposit_3,39,38.52,15.13,18.78
Deposit_3,40,37.46,15.58,19.47
Deposit_3,41,38.44,16.08,18.04
Deposit_3,42,38.78,15.14,19.03
Deposit_3,43,39.4,15.75,18.7
Deposit_3,44,37.22,16.27,17.8
Deposit_3,45,36.54,15.73,19.64
Deposit_3,46,36.98,14.97,19.39
Deposit_3,47,39.65,14.55,18.98
Deposit_3,48,39.56,16.24,19.55
Deposit_3,49,38.59,14.54,19.6
Deposit_3,50,38.6,16.25,19.13
Deposit_3,51,38.83,15.56,19.51
Deposit_3,52,37.11,16.38,19.09
Deposit_3,53,39.7,16.1,19.04
Deposit_3,54,37.97,16.5,18.86
Deposit_3,55,37.84,15.2,19.26
Deposit_3,56,38.32,16.03,17.48
Deposit_3,57,36.66,15.3,19.64
Deposit_3,58,37.08,15.46,19.62
Deposit_3,59,39.08,15.76,17.09
Deposit_3,60,36.79,16.25,19.48
Deposit_3,61,38.61,16.47,17.39
Deposit_3,62,37.36,16.04,18.01
Deposit_3,63,37.86,15.34,19.23
Deposit_3,64,37.51,15.34,17.48
Deposit_3,65,37.74,15.98,19.45
Deposit_3,66,39.02,14.98,19.5
Deposit_3,67,37.54,14.72,18.52
Deposit_3,68,38.48,15.21,17.02
Deposit_3,69,38.17,15.07,17.86
Deposit_3,70,38.82,15.09,18.85
Deposit_3,71,39.78,14.97,19.94
Deposit_3,72,39.06,14.58,18.9
Deposit_3,73,37.25,14.54,17.78
Deposit_3,74,36.61,16.48,18.9
Deposit_3,75,37.42,15.36,18.62
Deposit_3,76,38.58,15.27,19.34
Deposit_3,77,36.68,15.86,17.32
Deposit_3,78,38.24,14.94,19.28
Deposit_3,79,38.59,16.4,18.62
Deposit_3,80,37.67,16.07,19.89
Deposit_3,81,39.2,14.68,18.03
Deposit_3,82,36.87,15.34,18.9
Deposit_3,83,36.76,16.26,19.8
Deposit_3,84,39.05,16.39,17.31
Deposit_3,85,38.23,15.43,19.81
Deposit_3,86,38.91,15.73,19.06
Deposit_3,87,38.02,14.83,17.2
Deposit_3,88,37.36,16.48,17.9
Deposit_3,89,39.37,14.96,19.12
Deposit_3,90,39.3,16.39,17.2
Deposit_3,91,38.93,15.8,18.75
Deposit_3,92,37.45,15.72,18.04
Deposit_3,93,38.57,15.53,18.86
Deposit_3,94,37.76,14.96,17.14
Deposit_3,95,36.82,14.85,19.61
Deposit_3,96,39.71,14.94,19.92
Deposit_3,97,36.98,14.87,19.91
Deposit_3,98,39.83,16.06,19.25
Deposit_3,99,38.06,15.2,17.39
Deposit_4,0,38.52,15.03,17.75
Deposit_4,1,37.05,15.94,17.75
Deposit_4,2,37.04,15.05,17.56
Deposit_4,3,37.65,15.54,18.6
Deposit_4,4,37.98,15.71,18.5
Deposit_4,5,38.54,15.87,18.21
Deposit_4,6,38.37,15.71,18.77
Deposit_4,7,37.89,15.8,18.71
Deposit_4,8,37.55,15.34,18.38
Deposit_4,9,38.99,15.81,18.8
Deposit_4,10,37.85,15.08,17.81
Deposit_4,11,37.9,15.89,17.67
Deposit_4,12,37.33,15.55,17.9
Deposit_4,13,38.59,15.82,17.59
Deposit_4,14,38.39,15.45,18.3
Deposit_4,15,37.44,15.64,18.9
Deposit_4,16,37.16,15.53,17.56
Deposit_4,17,38.36,15.73,17.68
Deposit_4,18,38.31,15.08,18.18
Deposit_4,19,37.55,15.06,18.9
Deposit_4,20,38.9,15.25,17.97
Deposit_4,21,37.3,15.16,18.26
Deposit_4,22,37.86,15.87,17.56
Deposit_4,23,38.89,15.22,17.72
Deposit_4,24,37.84,15.98,18.98
Deposit_4,25,38.28,15.34,18.95
Deposit_4,26,37.8,15.18,17.51
Deposit_4,27,37.55,15.79,18.93
Deposit_4,28,38.97,15.66,18.46
Deposit_4,29,37.82,15.5,18.8
Deposit_4,30,38.79,15.56,18.18
Deposit_4,31,37.46,15.72,18.27
Deposit_4,32,37.43,15.23,18.23
Deposit_4,33,37.06,16.0,18.5
Deposit_4,34,38.3,15.97,17.71
Deposit_4,35,37.74,15.65,17.54
Deposit_4,36,38.73,15.2,17.96
Deposit_4,37,37.95,15.68,18.56
Deposit_4,38,38.94,15.07,17.8
Deposit_4,39,37.37,15.03,18.51
Deposit_4,40,38.74,15.26,18.95
Deposit_4,41,38.55,15.46,17.64
Deposit_4,42,38.54,15.87,18.51
Deposit_4,43,38.69,15.73,18.17
Deposit_4,44,38.52,15.74,18.8
Deposit_4,45,38.25,15.43,17.77
Deposit_4,46,37.26,15.35,18.54
Deposit_4,47,37.07,15.37,18.76
Deposit_4,48,38.84,15.99,18.92
Deposit_4,49,38.23,15.04,18.52
Deposit_4,50,38.59,15.87,18.25
Deposit_4,51,37.96,15.58,18.43
Deposit_4,52,37.23,15.44,18.8
Deposit_4,53,37.25,15.73,18.36
Deposit_4,54,38.37,15.49,17.55
Deposit_4,55,37.86,15.87,18.9
Deposit_4,56,37.4,15.9,18.53
Deposit_4,57,37.98,15.42,18.51
Deposit_4,58,37.13,15.28,17.82
Deposit_4,59,38.16,15.59,18.49
Deposit_4,60,37.54,15.91,18.09
Deposit_4,61,38.6,15.21,18.48
Deposit_4,62,37.62,15.62,17.66
Deposit_4,63,37.91,15.63,18.49
Deposit_4,64,37.02,15.73,19.0
Deposit_4,65,37.14,15.13,17.57
Deposit_4,66,37.78,15.72,18.97
Deposit_4,67,37.96,15.91,18.11
Deposit_4,68,38.2,15.18,18.81
Deposit_4,69,37.58,15.24,18.67
Deposit_4,70,38.39,15.97,18.35
Deposit_4,71,38.72,15.18,18.61
Deposit_4,72,38.56,15.85,18.82
Deposit_4,73,37.08,15.49,18.11
Deposit_4,74,37.96,15.25,17.99
Deposit_4,75,37.21,15.87,18.5
Deposit_4,76,37.48,15.45,18.71
Deposit_4,77,38.97,15.51,18.64
Deposit_4,78,37.28,15.36,18.7
Deposit_4,79,38.0,15.59,18.15
Deposit_4,80,38.24,15.16,18.73
Deposit_4,81,38.4,15.39,17.68
Deposit_4,82,38.12,15.97,18.32
Deposit_4,83,37.02,15.26,17.51
Deposit_4,84,37.65,15.66,17.99
Deposit_4,85,38.04,15.33,18.05
Deposit_4,86,37.18,15.77,18.09
Deposit_4,87,37.7,15.13,18.54
Deposit_4,88,37.07,15.97,18.08
Deposit_4,89,37.16,15.45,18.17
Deposit_4,90,37.79,15.24,17.86
Deposit_4,91,37.27,15.07,18.06
Deposit_4,92,38.14,15.17,17.84
Deposit_4,93,38.38,15.52,17.61
Deposit_4,94,38.6,15.34,18.41
Deposit_4,95,37.4,15.83,18.5
Deposit_4,96,37.33,15.43,18.43
Deposit_4,97,37.21,15.25,18.2
Deposit_4,98,38.27,15.62,18.07
Deposit_4,99,38.41,15.71,18.8
Deposit_5,0,38.32,14.88,19.9
Deposit_5,1,38.18,15.15,18.3
Deposit_5,2,36.59,14.95,17.94
Deposit_5,3,37.69,15.21,18.52
Deposit_5,4,37.83,14.64,18.32
Deposit_5,5,37.9,15.54,17.32
Deposit_5,6,38.53,14.64,18.92
Deposit_5,7,38.37,16.1,17.65
Deposit_5,8,38.63,14.97,18.86
Deposit_5,9,39.18,15.58,18.95
Deposit_5,10,39.35,16.26,17.46
Deposit_5,11,39.01,15.8,17.18
Deposit_5,12,39.84,15.57,19.34
Deposit_5,13,36.56,15.15,18.38
Deposit_5,14,37.19,15.17,17.17
Deposit_5,15,36.53,15.84,19.98
Deposit_5,16,38.77,16.49,17.17
Deposit_5,17,39.64,15.82,19.09
Deposit_5,18,37.35,15.62,19.95
Deposit_5,19,39.74,15.96,17.72
Deposit_5,20,36.71,15.43,17.43
Deposit_5,21,39.77,14.62,17.36
Deposit_5,22,37.73,15.62,17.91
Deposit_5,23,36.85,16.42,17.3
Deposit_5,24,38.2,14.85,19.08
Deposit_5,25,37.4,15.88,17.19
Deposit_5,26,37.5,14.9,18.53
Deposit_5,27,37.58,15.57,19.99
Deposit_5,28,39.31,14.69,19.44
Deposit_5,29,38.39,15.4,18.85
Deposit_5,30,37.59,16.01,17.92
Deposit_5,31,38.64,15.2,18.87
Deposit_5,32,39.01,15.83,18.58
Deposit_5,33,37.45,16.09,18.28
Deposit_5,34,37.95,16.35,17.39
Deposit_5,35,36.93,14.97,19.66
Deposit_5,36,37.13,15.3,18.35
Deposit_5,37,38.88,14.8,17.58
Deposit_5,38,37.14,16.48,18.1
Deposit_5,39,38.34,16.35,18.24
Deposit_5,40,38.98,15.58,19.48
Deposit_5,41,36.87,16.18,19.2
Deposit_5,42,38.49,15.54,19.31
Deposit_5,43,37.4,15.75,17.03
Deposit_5,44,39.87,14.68,18.25
Deposit_5,45,38.19,16.01,18.44
Deposit_5,46,39.32,14.76,17.06
Deposit_5,47,38.43,16.15,17.78
Deposit_5,48,36.65,16.06,19.28
Deposit_5,49,38.72,15.92,17.41
Deposit_5,50,39.83,14.57,18.61
Deposit_5,51,38.61,15.11,17.65
Deposit_5,52,39.37,15.03,17.04
Deposit_5,53,39.59,15.22,17.72
Deposit_5,54,37.3,14.68,19.93
Deposit_5,55,37.24,16.37,19.4
Deposit_5,56,38.64,15.61,19.88
Deposit_5,57,37.94,15.11,18.46
Deposit_5,58,39.44,15.29,17.33
Deposit_5,59,39.65,15.39,18.64
Deposit_5,60,37.74,15.7,18.36
Deposit_5,61,37.33,15.53,19.53
Deposit_5,62,39.23,16.34,17.29
Deposit_5,63,37.46,15.49,18.46
Deposit_5,64,39.38,16.48,17.45
Deposit_5,65,37.98,16.2,17.97
Deposit_5,66,38.84,14.92,19.21
Deposit_5,67,36.83,16.36,18.43
Deposit_5,68,38.68,14.73,18.13
Deposit_5,69,38.08,16.13,18.18
Deposit_5,70,38.55,15.26,18.38
Deposit_5,71,37.09,16.26,19.36
Deposit_5,72,39.08,16.24,19.68
Deposit_5,73,39.52,16.11,19.87
Deposit_5,74,37.26,16.08,19.36
Deposit_5,75,36.84,15.11,17.95
Deposit_5,76,36.58,14.66,19.06
Deposit_5,77,38.75,15.31,18.31
Deposit_5,78,38.62,14.85,17.76
Deposit_5,79,38.41,15.89,19.52
Deposit_5,80,37.31,15.19,17.12
Deposit_5,81,37.87,16.45,19.71
Deposit_5,82,38.58,15.78,18.38
Deposit_5,83,38.24,16.14,18.91
Deposit_5,84,39.96,14.77,18.98
Deposit_5,85,36.98,16.22,19.69
Deposit_5,86,38.93,16.35,18.91
Deposit_5,87,37.92,15.47,18.84
Deposit_5,88,38.0,15.71,17.2
Deposit_5,89,39.01,16.03,18.56
Deposit_5,90,38.92,14.85,17.45
Deposit_5,91,39.97,15.51,19.21
Deposit_5,92,36.95,15.3,18.54
Deposit_5,93,36.86,14.79,19.04
Deposit_5,94,39.04,15.24,17.13
Deposit_5,95,38.52,14.64,17.25
Deposit_5,96,37.46,14.55,19.15
Deposit_5,97,36.78,14.77,17.22
Deposit_5,98,36.8,16.43,17.21
Deposit_5,99,39.63,15.6,17.04
